id,AR_usage,Country,Order_size,Payment_method,New_customers,Old_customers_tenure,Product_return,Channel,Order_day,Order_hour
145,0,NL,0.524662781,ideal,1,-0.693841827,0,Paid Search Non-Branded,4,17
146,0,NL,0.149153859,ideal,1,-0.693841827,0,Paid Search Branded,4,17
147,0,NL,-0.600998091,ideal,0,-0.047884579,0,Direct Access,4,17
148,0,NL,0.351484185,ideal,1,-0.693841827,0,Paid Search Branded,4,17
149,0,NL,0.408921753,ideal,1,-0.693841827,0,Paid Search Branded,4,17
150,1,NL,0.120579391,ideal,1,-0.693841827,0,Paid Search Branded,4,17
151,1,NL,0.264606256,ideal,1,-0.693841827,0,Organic Search,4,17
152,0,NL,2.429627332,ideal,0,-0.593200428,0,Organic Search,4,17
153,1,NL,-0.600998091,ideal,0,0.956800599,0,Paid Search Branded,4,17
154,0,NL,-0.28379263,ideal,1,-0.693841827,0,Paid Search Branded,4,17
155,1,NL,0.12029076,ideal,1,-0.693841827,0,Paid Search Branded,4,18
156,0,NL,2.429627332,ideal,0,-0.471689831,0,Paid Search Branded,4,18
157,0,NL,-0.312367098,ideal,1,-0.693841827,0,Organic Search,4,18
158,0,NL,0.149153859,ideal,0,-0.252378022,0,Paid Search Branded,4,18
159,0,NL,-0.456682594,ideal,0,0.082517037,0,Direct Access,4,18
160,0,NL,0.351195554,visa,1,-0.693841827,0,Direct Access,4,18
161,0,NL,0.120579391,ideal,1,-0.693841827,1,Direct Access,4,18
162,0,NL,1.852365347,ideal,0,-0.578382063,0,Paid Search Branded,4,18
163,0,NL,-1.120533877,ideal,1,-0.693841827,0,Direct Access,4,18
164,0,NL,0.409210384,ideal,1,-0.693841827,0,Paid Search Branded,4,18
165,0,NL,-1.005370111,ideal,0,1.691791526,0,Paid Search Branded,4,18
166,0,NL,-1.611495196,ideal,1,-0.693841827,0,Organic Search,4,19
167,1,NL,-0.312655729,ideal,0,1.413206255,1,Direct Access,4,19
168,0,BE,-0.485545694,visa,0,1.570280929,0,Organic Search,4,19
169,0,NL,0.668689646,ideal,0,1.552498891,0,Direct Access,4,19
170,0,NL,0.380058653,ideal,0,-0.219777618,0,Direct Access,4,19
171,1,NL,-0.2257778,ideal,0,2.118560451,0,Organic Search,4,19
172,1,NL,0.380347284,ideal,0,-0.095303349,0,Organic Search,4,19
173,0,NL,3.151204814,ideal,0,-0.610982467,0,Paid Search Branded,4,19
174,1,NL,-0.889917714,ideal,1,-0.693841827,0,Paid Search Branded,4,19
175,1,NL,0.091427661,visa,0,1.931849046,0,Organic Search,4,19
177,1,NL,0.697841376,ideal,1,-0.693841827,0,Paid Search Branded,4,19
178,0,NL,-0.889629083,ideal,1,-0.693841827,0,Paid Search Branded,4,20
179,0,NL,-0.341230197,ideal,0,-0.459835139,0,Organic Search,4,20
180,0,NL,-0.947643913,visa,1,-0.693841827,1,Direct Access,4,20
182,1,BE,-1.03394458,visa,1,-0.693841827,0,Paid Search Branded,4,20
183,1,NL,-1.034233211,ideal,1,-0.693841827,1,Paid Search Branded,4,20
184,0,NL,0.062853192,ideal,1,-0.693841827,1,Organic Search,4,20
185,1,NL,-0.341518828,ideal,1,-0.693841827,0,Organic Search,4,20
186,1,NL,-0.658724289,ideal,0,1.333187082,0,Paid Search Non-Branded,4,20
187,0,NL,0.726415845,ideal,0,2.761677512,0,Paid Search Branded,4,20
188,0,NL,-1.322575572,ideal,1,-0.693841827,0,Organic Search,4,20
189,0,NL,-0.831902885,ideal,0,2.86540607,0,Paid Search Branded,4,20
190,1,NL,2.804847623,ideal,1,-0.693841827,0,Direct Access,4,20
191,1,NL,0.120579391,ideal,0,1.917030681,0,Paid Search Branded,4,20
192,1,NL,-0.485545694,ideal,0,-0.145685791,0,Paid Search Branded,4,20
193,1,NL,-0.341518828,ideal,1,-0.693841827,0,Paid Search Branded,4,20
194,0,NL,-0.803617047,ideal,0,0.950873253,0,Paid Search Branded,4,20
195,1,NL,-0.658724289,ideal,1,-0.693841827,0,Paid Search Branded,4,20
196,0,BE,-1.03394458,visa,0,-0.575418389,0,Paid Search Non-Branded,4,20
197,1,NL,-0.456682594,ideal,0,0.08548071,0,Organic Search,4,20
198,1,NL,0.120579391,ideal,0,-0.350179234,0,Paid Search Branded,4,20
199,0,NL,-0.196914701,ideal,0,0.055843979,0,Paid Search Branded,4,21
200,1,NL,0.408921753,ideal,1,-0.693841827,0,Paid Search Branded,4,21
201,1,NL,-0.485545694,ideal,0,0.076589691,0,Paid Search Branded,4,21
202,0,NL,-0.2257778,visa,1,-0.693841827,0,Organic Search,4,21
203,0,NL,-0.889917714,ideal,1,-0.693841827,0,Organic Search,4,21
204,0,NL,-0.630149821,ideal,0,1.14943935,0,Campaigning,4,21
205,0,NL,-0.600998091,ideal,0,1.223531177,0,Campaigning,4,21
206,0,NL,-0.312367098,visa,0,0.941982234,1,Direct Access,4,21
207,1,NL,-0.312367098,ideal,1,-0.693841827,0,Paid Search Branded,4,21
208,0,NL,-0.600998091,ideal,1,-0.693841827,0,Organic Search,4,21
209,0,NL,0.380058653,ideal,1,-0.693841827,0,Affiliate,4,21
210,1,NL,-0.658724289,ideal,0,1.756992334,0,Paid Search Branded,4,21
211,0,NL,-0.023736105,ideal,1,-0.693841827,0,Direct Access,4,21
212,1,NL,-0.600998091,visa,1,-0.693841827,0,Organic Search,4,21
213,0,NL,0.409210384,ideal,0,1.851829873,0,Direct Access,4,21
214,0,NL,-0.341230197,ideal,0,1.804411103,0,Direct Access,4,21
